RegistryID,Category,SceneType,ContentType,Filename,Extension,SourcePath,FileSize,LineCount,CharCount,Preview,LastModified
START_MENU_SQL_NOTES,start_menu,UI_Scene,text,SQL Notes.txt,.txt,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\start_menu\SQL Notes.txt,2460,67,2393,SQL Notes,2026-06-29T17:20:33.597380
START_MENU_GAME_START_MENU,start_menu,UI_Scene,text,game_start_menu.txt,.txt,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\start_menu\game_start_menu.txt,50143,1272,48847,"I need to create a game start menu as a new React route for the app, so let me review the current project structure firs",2026-06-29T17:20:42.222805
BATTLE_ENCOUNTERS_BATTLE_SPACE_DRAFT02,battle_encounters,Battle_Lore,image,Battle_space (Draft02).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\Battle_space (Draft02).png,1489574,0,1489574,,2026-06-28T23:15:13.451810
BATTLE_ENCOUNTERS_BATTLE_SPACE,battle_encounters,Battle_Lore,image,Battle_space.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\Battle_space.png,1471844,0,1471844,,2026-06-28T23:00:13.721378
BATTLE_ENCOUNTERS_CHATGPT_IMAGE_JUN_24_2026_01_13_57_AM,battle_encounters,Battle_Lore,image,"ChatGPT Image Jun 24, 2026, 01_13_57 AM.png",.png,"C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ChatGPT Image Jun 24, 2026, 01_13_57 AM.png",3147799,0,3147799,,2026-06-23T23:13:58
BATTLE_ENCOUNTERS_CHATGPT_IMAGE_JUN_24_2026_01_24_03_AM,battle_encounters,Battle_Lore,image,"ChatGPT Image Jun 24, 2026, 01_24_03 AM.png",.png,"C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ChatGPT Image Jun 24, 2026, 01_24_03 AM.png",2345293,0,2345293,,2026-06-23T23:24:02
BATTLE_ENCOUNTERS_CHATGPT_IMAGE_JUN_24_2026_01_27_33_AM,battle_encounters,Battle_Lore,image,"ChatGPT Image Jun 24, 2026, 01_27_33 AM.png",.png,"C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ChatGPT Image Jun 24, 2026, 01_27_33 AM.png",2444372,0,2444372,,2026-06-23T23:27:34
BATTLE_ENCOUNTERS_CYBERPAUSEMENU_1,battle_encounters,Battle_Lore,image,CyberPauseMenu (1).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\CyberPauseMenu (1).png,7693045,0,7693045,,2026-06-25T21:09:42
BATTLE_ENCOUNTERS_CYBERPAUSEMENU_2,battle_encounters,Battle_Lore,image,CyberPauseMenu (2).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\CyberPauseMenu (2).png,7013381,0,7013381,,2026-06-25T21:14:46
BATTLE_ENCOUNTERS_CYBERPAUSEMENU_3,battle_encounters,Battle_Lore,image,CyberPauseMenu (3).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\CyberPauseMenu (3).png,6498838,0,6498838,,2026-06-25T21:19:24
BATTLE_ENCOUNTERS_CYBERPAUSEMENU,battle_encounters,Battle_Lore,image,CyberPauseMenu.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\CyberPauseMenu.png,8416894,0,8416894,,2026-06-25T21:01:38
BATTLE_ENCOUNTERS_ELEVENLABS_IMAGE_GPT_IMAGE_2_MAKE_A_MORE_FUT_202,battle_encounters,Battle_Lore,image,ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_23_23.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_23_23.png,1376260,0,1376260,,2026-06-28T21:25:12.720275
BATTLE_ENCOUNTERS_ELEVENLABS_IMAGE_GPT_IMAGE_2_MAKE_A_MORE_FUT_202,battle_encounters,Battle_Lore,image,ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_23_25.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_23_25.png,1359625,0,1359625,,2026-06-28T21:25:11.115912
BATTLE_ENCOUNTERS_ELEVENLABS_IMAGE_GPT_IMAGE_2_MAKE_A_MORE_FUT_202,battle_encounters,Battle_Lore,image,ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_23_30.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_23_30.png,1568741,0,1568741,,2026-06-28T21:25:15.682732
BATTLE_ENCOUNTERS_ELEVENLABS_IMAGE_GPT_IMAGE_2_MAKE_A_MORE_FUT_202,battle_encounters,Battle_Lore,image,ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_23_47.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_23_47.png,1459716,0,1459716,,2026-06-28T21:25:16.870195
BATTLE_ENCOUNTERS_ELEVENLABS_IMAGE_GPT_IMAGE_2_MAKE_A_MORE_FUT_202,battle_encounters,Battle_Lore,image,ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_28_00.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_28_00.png,1516753,0,1516753,,2026-06-28T21:28:44.257395
BATTLE_ENCOUNTERS_ELEVENLABS_IMAGE_GPT_IMAGE_2_MAKE_A_MORE_FUT_202,battle_encounters,Battle_Lore,image,ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_28_18.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ElevenLabs_image_gpt-image-2_make a more fut_2026-06-29T02_28_18.png,1578051,0,1578051,,2026-06-28T21:28:42.789554
BATTLE_ENCOUNTERS_ETERNITY,battle_encounters,Battle_Lore,image,Eternity.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\Eternity.png,2420883,0,2420883,,2026-06-25T12:42:50
BATTLE_ENCOUNTERS_GIT_UE_INTEGRATION_CUTSHEET,battle_encounters,Battle_Lore,text,Git_UE_Integration_CutSheet.md,.md,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\Git_UE_Integration_CutSheet.md,8954,88,8880,# R3ALN3T.EXE — Git + Unreal C++ Integration Cut Sheet,2026-06-28T23:55:50.818594
BATTLE_ENCOUNTERS_MMBN_MENU,battle_encounters,Battle_Lore,image,MMBN Menu.jpg,.jpg,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\MMBN Menu.jpg,63569,0,63569,,2026-06-25T20:24:02
BATTLE_ENCOUNTERS_TRINITY,battle_encounters,Battle_Lore,image,Trinity.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\Trinity.png,2289927,0,2289927,,2026-06-23T23:16:22
BATTLE_ENCOUNTERS_TYRANNY,battle_encounters,Battle_Lore,image,Tyranny.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\Tyranny.png,2345293,0,2345293,,2026-06-25T12:43:24
BATTLE_ENCOUNTERS_BATTLE_SPACE_DAMAGE_RECIEVED,battle_encounters,Battle_Lore,image,battle_space(damage_recieved).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\battle_space(damage_recieved).png,1602775,0,1602775,,2026-06-28T23:33:36.740120
BATTLE_ENCOUNTERS_BATTLE_SPACE_SAMPLE_ATTACK,battle_encounters,Battle_Lore,image,battle_space(sample_attack).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\battle_space(sample_attack).png,1558798,0,1558798,,2026-06-28T23:23:10.562146
BATTLE_ENCOUNTERS_BATTLE_SPACE_SAMPLE_ATTACK_CROSS_ENEMY_LINES,battle_encounters,Battle_Lore,image,battle_space(sample_attack_cross_enemy_lines).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\battle_space(sample_attack_cross_enemy_lines).png,1540423,0,1540423,,2026-06-28T23:38:44.595219
BATTLE_ENCOUNTERS_BATTLE_SPACE_SAMPLE_ATTACK_SPECIAL_ATTACK,battle_encounters,Battle_Lore,image,battle_space(sample_attack_special_attack).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\battle_space(sample_attack_special_attack).png,1652956,0,1652956,,2026-06-28T23:34:51.729417
BATTLE_ENCOUNTERS_BATTLE_SPACE_SAMPLE_FLAME_DEMON_BATTLE_CARDS,battle_encounters,Battle_Lore,image,battle_space(sample_flame_demon_battle_cards).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\battle_space(sample_flame_demon_battle_cards).png,1593139,0,1593139,,2026-06-28T23:54:42.560020
BATTLE_ENCOUNTERS_BATTLE_SPACE_SAMPLE_FLAME_DEMON_SPECIAL_ATTACK,battle_encounters,Battle_Lore,image,battle_space(sample_flame_demon_special_attack).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\battle_space(sample_flame_demon_special_attack).png,1580878,0,1580878,,2026-06-28T23:51:33.789330
BATTLE_ENCOUNTERS_BATTLE_SPACE_SAMPLE_FLAME_DEMON_STAGE_FIRE_BY_EL,battle_encounters,Battle_Lore,image,battle_space(sample_flame_demon_stage_fire_by_element).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\battle_space(sample_flame_demon_stage_fire_by_element).png,1582721,0,1582721,,2026-06-28T23:58:08.738160
BATTLE_ENCOUNTERS_BATTLE_SPACE_SAMPLE_HEAL,battle_encounters,Battle_Lore,image,battle_space(sample_heal).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\battle_space(sample_heal).png,1508160,0,1508160,,2026-06-28T23:31:01.574703
BATTLE_ENCOUNTERS_CHARACTER_SPRITES,battle_encounters,Battle_Lore,image,character_sprites.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\character_sprites.png,45465,0,45465,,2026-06-25T22:02:54
BATTLE_ENCOUNTERS_CHARACTER_SPRITES_2,battle_encounters,Battle_Lore,image,character_sprites_2.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\character_sprites_2.png,61375,0,61375,,2026-06-25T22:10:16
BATTLE_ENCOUNTERS_DAVINCI_CREATE_A_MENU_SETTINGS_UI_FOR_A_VIDEO_GA,battle_encounters,Battle_Lore,image,davinci_create_a_menu_settings_ui_for_a_video_game_that_is (1).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\davinci_create_a_menu_settings_ui_for_a_video_game_that_is (1).png,2729004,0,2729004,,2026-06-25T20:34:56
BATTLE_ENCOUNTERS_DAVINCI_CREATE_A_MENU_SETTINGS_UI_FOR_A_VIDEO_GA,battle_encounters,Battle_Lore,image,davinci_create_a_menu_settings_ui_for_a_video_game_that_is.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\davinci_create_a_menu_settings_ui_for_a_video_game_that_is.png,1539787,0,1539787,,2026-06-25T20:31:32
BATTLE_ENCOUNTERS_DEEPSEEK_PYTHON_20260625_20AFBE,battle_encounters,Battle_Lore,text,deepseek_python_20260625_20afbe.py,.py,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\deepseek_python_20260625_20afbe.py,93358,582,93352,import csv,2026-06-25T09:06:12
BATTLE_ENCOUNTERS_DEEPSEEK_PYTHON_20260625_4984A7,battle_encounters,Battle_Lore,text,deepseek_python_20260625_4984a7.py,.py,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\deepseek_python_20260625_4984a7.py,627,5,627,# Background/extras with minimal but distinct descriptors,2026-06-25T08:59:10
BATTLE_ENCOUNTERS_DEEPSEEK_PYTHON_20260625_DBFB6B,battle_encounters,Battle_Lore,text,deepseek_python_20260625_dbfb6b.py,.py,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\deepseek_python_20260625_dbfb6b.py,2114,16,2114,# Bikini Bottom residents (expand existing entries),2026-06-25T09:01:56
BATTLE_ENCOUNTERS_GEMINI_2_5_FLASH_IMAGE_MAKE_A_MORE_FUTURISTIC_VE,battle_encounters,Battle_Lore,image,gemini-2.5-flash-image_make_a_more_futuristic_version_of_MMBN_battle_stage_instead_of_3x3_make_it_4x4_w-0.jpg,.jpg,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\gemini-2.5-flash-image_make_a_more_futuristic_version_of_MMBN_battle_stage_instead_of_3x3_make_it_4x4_w-0.jpg,241686,0,241686,,2026-06-28T21:17:16.577760
BATTLE_ENCOUNTERS_IMAGE_1,battle_encounters,Battle_Lore,image,image-1.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\image-1.png,152630,0,152630,,2026-06-25T12:58:52
BATTLE_ENCOUNTERS_IMAGE_2,battle_encounters,Battle_Lore,image,image-2.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\image-2.png,162773,0,162773,,2026-06-25T12:58:54
INTRO_CINEMATIC_GITIGNORE,intro_cinematic,Cinematic_Scene,other,.gitignore,,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\.gitignore,243,0,243,,2026-06-27T19:21:13.032626
INTRO_CINEMATIC_README,intro_cinematic,Cinematic_Scene,text,README.md,.md,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\README.md,119,3,116,# Intro_Lifein6thGEAR,2026-06-27T19:21:13.032626
INTRO_CINEMATIC_ESLINT_CONFIG,intro_cinematic,Cinematic_Scene,text,eslint.config.js,.js,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\eslint.config.js,767,28,739,import js from '@eslint/js';,2026-06-27T19:21:13.033627
INTRO_CINEMATIC_INDEX,intro_cinematic,Cinematic_Scene,text,index.html,.html,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\index.html,963,19,944,<!doctype html>,2026-06-27T19:21:14.187527
INTRO_CINEMATIC_INTRO,intro_cinematic,Cinematic_Scene,video,intro.mp4,.mp4,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\intro.mp4,466585,0,466585,,2026-06-27T19:21:14.190519
INTRO_CINEMATIC_PACKAGE_LOCK,intro_cinematic,Cinematic_Scene,text,package-lock.json,.json,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\package-lock.json,161850,4427,157423,{,2026-06-27T19:21:14.191529
INTRO_CINEMATIC_POSTCSS_CONFIG,intro_cinematic,Cinematic_Scene,text,postcss.config.js,.js,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\postcss.config.js,87,6,81,export default {,2026-06-27T19:21:14.191529
INTRO_CINEMATIC_RECORD_INTRO_SCRUB,intro_cinematic,Cinematic_Scene,text,record-intro-scrub.js,.js,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\record-intro-scrub.js,3801,96,3705,const { chromium } = require('playwright');,2026-06-27T19:21:14.191529
INTRO_CINEMATIC_RENDER_TO_MP4,intro_cinematic,Cinematic_Scene,other,render-to-mp4.cjs,.cjs,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\render-to-mp4.cjs,4386,0,4386,,2026-06-27T19:21:14.191529
INTRO_CINEMATIC_TAILWIND_CONFIG,intro_cinematic,Cinematic_Scene,text,tailwind.config.js,.js,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\tailwind.config.js,478,21,457,/** @type {import('tailwindcss').Config} */,2026-06-27T19:21:14.193518
INTRO_CINEMATIC_TSCONFIG_APP,intro_cinematic,Cinematic_Scene,text,tsconfig.app.json,.json,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\tsconfig.app.json,576,24,552,{,2026-06-27T19:21:14.194627
INTRO_CINEMATIC_TSCONFIG,intro_cinematic,Cinematic_Scene,text,tsconfig.json,.json,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\tsconfig.json,126,7,119,{,2026-06-27T19:21:14.194627
INTRO_CINEMATIC_TSCONFIG_NODE,intro_cinematic,Cinematic_Scene,text,tsconfig.node.json,.json,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\tsconfig.node.json,501,22,479,{,2026-06-27T19:21:14.194627
INTRO_CINEMATIC_VITE_CONFIG,intro_cinematic,Cinematic_Scene,text,vite.config.ts,.ts,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\R3ALN3T.EXE\intro_lifein6thgearSTUDIOS\Intro_Lifein6thGEAR-main\vite.config.ts,230,10,220,import { defineConfig } from 'vite';,2026-06-27T19:21:14.194627
